,episode_a_run_1,epsilon_a_run_1,score_a_run_1,average_a_run_1,avg_q_values_a_run_1,episode_a_run_2,epsilon_a_run_2,score_a_run_2,average_a_run_2,avg_q_values_a_run_2,episode_a_run_3,epsilon_a_run_3,score_a_run_3,average_a_run_3,avg_q_values_a_run_3,episode_b_run_1,epsilon_b_run_1,score_b_run_1,average_b_run_1,avg_q_values_b_run_1,episode_b_run_2,epsilon_b_run_2,score_b_run_2,average_b_run_2,avg_q_values_b_run_2,episode_b_run_3,epsilon_b_run_3,score_b_run_3,average_b_run_3,avg_q_values_b_run_3,episode_c_run_1,epsilon_c_run_1,score_c_run_1,average_c_run_1,avg_q_values_c_run_1,episode_c_run_2,epsilon_c_run_2,score_c_run_2,average_c_run_2,avg_q_values_c_run_2,episode_c_run_3,epsilon_c_run_3,score_c_run_3,average_c_run_3,avg_q_values_c_run_3,episode_d_run_1,epsilon_d_run_1,score_d_run_1,average_d_run_1,avg_q_values_d_run_1,episode_d_run_2,epsilon_d_run_2,score_d_run_2,average_d_run_2,avg_q_values_d_run_2,episode_d_run_3,epsilon_d_run_3,score_d_run_3,average_d_run_3,avg_q_values_d_run_3,episode_e_run_1,epsilon_e_run_1,score_e_run_1,average_e_run_1,avg_q_values_e_run_1,episode_e_run_2,epsilon_e_run_2,score_e_run_2,average_e_run_2,avg_q_values_e_run_2,episode_e_run_3,epsilon_e_run_3,score_e_run_3,average_e_run_3,avg_q_values_e_run_3
0,0.0,1.0,-114.0,-114.1599921294528,-1.2062880992889404,0.0,1.0,-105.0,-105.61109004659205,-0.4154631793498993,0.0,1.0,-376.0,-376.52194473577777,-4.104433536529541,0.0,1.0,-267.0,-267.0074332003893,-1.7714742422103882,0.0,1.0,-401.0,-401.41671280813773,-3.518975019454956,0.0,1.0,-301.0,-301.5052706452642,-2.2690460681915283,0.0,1.0,-362.0,-362.88779905243746,-4.700668811798096,0.0,1.0,-36.0,-36.90384392601449,-0.3134324848651886,0.0,1.0,-447.0,-447.945867011132,-3.983417510986328,0.0,1.0,-77.0,-77.86135403450706,0.3265049159526825,0.0,1.0,-502.0,-502.1495413053058,-4.832815647125244,0.0,1.0,-313.0,-313.7917489964649,-2.782459020614624,0.0,1.0,-78.0,-78.5776188114052,0.4388960599899292,0.0,1.0,-302.0,-302.6325717076314,-2.404292583465576,0.0,1.0,-83.0,-83.90424759818525,-0.09593191742897034
1,1.0,0.9858158423524046,-121.0,-117.94612615378968,2.061570405960083,1.0,0.9858158423524046,-215.0,-160.3864566109872,-0.8475682735443115,1.0,0.9858158423524046,-160.0,-268.3826370039074,-2.48881459236145,1.0,0.9858158423524046,-50.0,-158.51838881264507,-0.8199841380119324,1.0,0.9858158423524046,-109.0,-255.53128275326742,0.07397080957889557,1.0,0.9858158423524046,-162.0,-232.15250005664907,-4.114612102508545,1.0,0.9858158423524046,-95.0,-229.17174413317997,-0.6892163157463074,1.0,0.9858158423524046,-176.0,-106.71651927731318,-0.4178730249404907,1.0,0.9858158423524046,22.0,-212.72529032028177,-1.0066157579421997,1.0,0.9858158423524046,-140.0,-109.07184711477639,1.9924607276916504,1.0,0.9858158423524046,-152.0,-327.2226995074634,-2.795356273651123,1.0,0.9858158423524046,16.0,-148.84015138548824,-0.36350777745246887,1.0,0.9858158423524046,-253.0,-165.87449144836395,1.691218614578247,1.0,0.9858158423524046,-246.0,-274.75963386447535,-2.3858120441436768,1.0,0.9858158423524046,-113.0,-98.63264694911865,2.4444637298583984
2,2.0,0.9718328750329811,-126.0,-120.75546407088495,1.075537919998169,2.0,0.9718328750329811,-192.0,-171.0613262975508,2.248107671737671,2.0,0.9718328750329811,-263.0,-266.7475733592713,-5.342794418334961,2.0,0.9718328750329811,-85.0,-134.16064462694618,3.937955617904663,2.0,0.9718328750329811,-439.0,-316.90077019465195,-0.1457049399614334,2.0,0.9718328750329811,-165.0,-209.80093837571255,0.5596910119056702,2.0,0.9718328750329811,-325.0,-261.1548143559354,-6.9490647315979,2.0,0.9718328750329811,-149.0,-121.13434285732981,0.5345144271850586,2.0,0.9718328750329811,-390.0,-272.0045892124979,3.1808788776397705,2.0,0.9718328750329811,-130.0,-116.36493295762126,4.608160018920898,2.0,0.9718328750329811,-230.0,-295.0984596861279,-0.7694317102432251,2.0,0.9718328750329811,-304.0,-200.85110305789084,1.5748566389083862,2.0,0.9718328750329811,-220.0,-183.93497812404962,2.541954755783081,2.0,0.9718328750329811,-107.0,-218.9410211276575,-5.281140327453613,2.0,0.9718328750329811,-116.0,-104.66102996758387,5.105349063873291
3,3.0,0.9580482443263975,-66.0,-107.07418958820618,3.592259168624878,3.0,0.9580482443263975,-73.0,-146.7523233326325,0.45929813385009766,3.0,0.9580482443263975,-402.0,-300.7532693907,-9.037342071533203,3.0,0.9580482443263975,-104.0,-126.69279680817763,5.4543633460998535,3.0,0.9580482443263975,20.0,-232.5454821527774,1.2688456773757935,3.0,0.9580482443263975,-213.0,-210.6759304376165,0.4605914354324341,3.0,0.9580482443263975,-189.0,-243.24452543832786,-1.9484422206878662,3.0,0.9580482443263975,-134.0,-124.54860386054857,2.5807278156280518,3.0,0.9580482443263975,-246.0,-265.61624087714705,-10.58047866821289,3.0,0.9580482443263975,-109.0,-114.68954960104608,6.1937384605407715,3.0,0.9580482443263975,-133.0,-254.71489225438273,-0.15397362411022186,3.0,0.9580482443263975,-197.0,-199.96695465544948,-3.5392768383026123,3.0,0.9580482443263975,-146.0,-174.48976583668843,7.967213153839111,3.0,0.9580482443263975,-75.0,-183.13974157143969,-1.0510061979293823,3.0,0.9580482443263975,-158.0,-118.15335667799091,8.402891159057617
4,4.0,0.9444591369948698,-210.0,-127.71745771694428,5.5544514656066895,4.0,0.9444591369948698,-273.0,-172.00787535343204,5.179617881774902,4.0,0.9444591369948698,-110.0,-262.68060019522324,-0.30351391434669495,4.0,0.9444591369948698,-169.0,-135.26696069326,6.83603572845459,4.0,0.9444591369948698,-144.0,-215.03428015008834,6.288440704345703,4.0,0.9444591369948698,-263.0,-221.195400611303,-1.3080743551254272,4.0,0.9444591369948698,-176.0,-229.8707673361913,4.212785720825195,4.0,0.9444591369948698,-143.0,-128.3986601370591,3.4860692024230957,4.0,0.9444591369948698,-219.0,-256.42026631606956,-7.357547283172607,4.0,0.9444591369948698,-101.0,-112.14589971075462,12.628689765930176,4.0,0.9444591369948698,-140.0,-231.78638286122236,-1.5119425058364868,4.0,0.9444591369948698,-104.0,-180.92679097107992,-3.0023653507232666,4.0,0.9444591369948698,-92.0,-158.05808392761682,13.118619918823242,4.0,0.9444591369948698,-254.0,-197.46858841751623,1.3154823780059814,4.0,0.9444591369948698,-78.0,-110.30699560580804,13.227433204650879
5,5.0,0.9310627797040227,-345.0,-164.07394895145686,2.162012815475464,5.0,0.9310627797040227,-267.0,-188.00457079493773,2.4858150482177734,5.0,0.9310627797040227,-115.0,-238.17241920460506,2.7963175773620605,5.0,0.9310627797040227,-224.0,-150.12949974776802,8.084200859069824,5.0,0.9310627797040227,-181.0,-209.43958882774186,3.747537136077881,5.0,0.9310627797040227,-327.0,-238.8999341021426,-0.6398264169692993,5.0,0.9310627797040227,-269.0,-236.50665488729288,8.885997772216797,5.0,0.9310627797040227,-193.0,-139.20981853318312,5.566964149475098,5.0,0.9310627797040227,-220.0,-250.42852817273584,2.48045015335083,5.0,0.9310627797040227,-388.0,-158.2117291061252,15.259491920471191,5.0,0.9310627797040227,-303.0,-243.72064585729524,-0.5572710633277893,5.0,0.9310627797040227,-303.0,-201.31614907868487,-6.003029823303223,5.0,0.9310627797040227,-364.0,-192.42989651958138,24.93006134033203,5.0,0.9310627797040227,-163.0,-191.7607504836878,3.556739568710327,5.0,0.9310627797040227,-136.0,-114.73918132807754,10.986749649047852
6,6.0,0.9178564384568926,-198.0,-169.02175455468995,8.900087356567383,6.0,0.9178564384568926,-77.0,-172.16199954329716,16.44894790649414,6.0,0.9178564384568926,-290.0,-245.6562299068151,6.8280229568481445,6.0,0.9178564384568926,-123.0,-146.3950036834173,-3.752671003341675,6.0,0.9178564384568926,-133.0,-198.5259955833027,2.9333438873291016,6.0,0.9178564384568926,-172.0,-229.40660638882377,-1.9695558547973633,6.0,0.9178564384568926,-98.0,-216.86232379036844,0.6121553778648376,6.0,0.9178564384568926,-162.0,-142.46733835102086,13.5159273147583,6.0,0.9178564384568926,-86.0,-226.99046332563475,-5.514300346374512,6.0,0.9178564384568926,-113.0,-151.83424416495464,8.949295043945312,6.0,0.9178564384568926,-114.0,-225.21220679156818,-1.2450306415557861,6.0,0.9178564384568926,57.0,-164.39446111963136,20.431060791015625,6.0,0.9178564384568926,-153.0,-186.83540205196635,15.503780364990234,6.0,0.9178564384568926,-266.0,-202.4527133798897,-4.548417568206787,6.0,0.9178564384568926,-300.0,-141.24438704410838,11.87893295288086
7,7.0,0.9048374180359595,-229.0,-176.60427041262116,2.2397172451019287,7.0,0.9048374180359595,-59.0,-158.0686364164778,6.468398094177246,7.0,0.9048374180359595,-188.0,-238.4669433838491,2.4081244468688965,7.0,0.9048374180359595,-207.0,-154.0784072255735,9.294295310974121,7.0,0.9048374180359595,-137.0,-190.84936220282373,-3.683730363845825,7.0,0.9048374180359595,-94.0,-212.52342261312867,-3.0172295570373535,7.0,0.9048374180359595,-78.0,-199.55291947780947,-0.44127902388572693,7.0,0.9048374180359595,-72.0,-133.70836329840765,11.39556884765625,7.0,0.9048374180359595,-83.0,-209.05729796453335,-0.3072752058506012,7.0,0.9048374180359595,-298.0,-170.16634331977093,5.342079162597656,7.0,0.9048374180359595,-307.0,-235.49979762024307,-3.7242276668548584,7.0,0.9048374180359595,-165.0,-164.5371316234559,16.144006729125977,7.0,0.9048374180359595,-281.0,-198.65132218061342,16.052947998046875,7.0,0.9048374180359595,-69.0,-185.84551969946335,3.269747018814087,7.0,0.9048374180359595,-65.0,-131.79443085661546,12.59636116027832
8,8.0,0.8920030614530944,-127.0,-171.1347843708508,10.911127090454102,8.0,0.8920030614530944,-131.0,-155.16050043784495,18.434284210205078,8.0,0.8920030614530944,-202.0,-234.4342196553182,4.158323764801025,8.0,0.8920030614530944,-95.0,-147.55488990762598,6.22741174697876,8.0,0.8920030614530944,-133.0,-184.51611218307954,11.337058067321777,8.0,0.8920030614530944,-367.0,-229.7158874009287,-4.8946990966796875,8.0,0.8920030614530944,-185.0,-198.00708472910188,13.277491569519043,8.0,0.8920030614530944,-114.0,-131.56915308502468,10.892173767089844,8.0,0.8920030614530944,-160.0,-203.61933520869448,7.570570468902588,8.0,0.8920030614530944,-408.0,-196.61167054750211,4.863219738006592,8.0,0.8920030614530944,4.0,-208.8856055967741,0.6909516453742981,8.0,0.8920030614530944,-99.0,-157.35419990399058,19.76466941833496,8.0,0.8920030614530944,-74.0,-184.80139936704327,9.072723388671875,8.0,0.8920030614530944,-123.0,-178.9632375011817,-0.3706328570842743,8.0,0.8920030614530944,1.0,-116.93903758129318,14.414009094238281
9,9.0,0.879350749407306,-189.0,-172.99587916222103,10.413269996643066,9.0,0.879350749407306,-102.0,-149.87582585174474,25.318260192871094,9.0,0.879350749407306,-50.0,-216.085005720806,3.1501643657684326,9.0,0.879350749407306,-254.0,-158.21767571736592,9.249224662780762,9.0,0.879350749407306,-277.0,-193.79347360544955,6.322139263153076,9.0,0.879350749407306,-198.0,-226.58255429034895,-7.127895355224609,9.0,0.879350749407306,-119.0,-190.1453864149898,-0.1765483170747757,9.0,0.879350749407306,-396.0,-158.03644020070067,20.27552604675293,9.0,0.879350749407306,-216.0,-204.94058630852996,-6.986670017242432,9.0,0.879350749407306,-6.0,-177.55511922247686,9.372557640075684,9.0,0.879350749407306,-63.0,-194.3631445538315,0.591718852519989,9.0,0.879350749407306,-176.0,-159.25142505869374,22.61994171142578,9.0,0.879350749407306,-245.0,-190.91779138233997,19.084468841552734,9.0,0.879350749407306,-197.0,-180.85150820301777,-1.8823604583740234,9.0,0.879350749407306,-171.0,-122.39553780167914,20.003841400146484
